member_casual,month,avg_duration
casual,Jan,27.747777777777777
casual,Feb,35.94015151515151
casual,Mar,35.06562064156206
casual,Apr,50.436081081081085
casual,May,36.30790491984522
casual,Jun,31.816645781119465
casual,Jul,33.07386324786325
casual,Aug,31.939714086471408
casual,Sep,29.486871270247228
casual,Oct,31.733971354166666
casual,Nov,31.621266581086864
casual,Dec,35.90142857142857
member,Jan,12.571361502347418
member,Feb,19.595934959349595
member,Mar,14.267039800995025
member,Apr,15.019282700421941
member,May,15.113598326359833
member,Jun,13.841505695889055
member,Jul,13.680457113507961
member,Aug,15.486896551724138
member,Sep,12.74746835443038
member,Oct,13.069683050068901
member,Nov,13.201430924438954
member,Dec,12.319020715630884
